"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073"
"7000000US370210030.1","Voting District 30.1, Buncombe County, North Carolina","4062","169","3893","3858","3655","91","18","85","1","8","35","35","6","13","5","0","1","4","0","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210031.1","Voting District 31.1, Buncombe County, North Carolina","1053","8","1045","1043","1035","5","0","2","0","1","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210032.1","Voting District 32.1, Buncombe County, North Carolina","2174","130","2044","2016","1907","89","9","7","2","2","28","25","5","17","1","0","0","2","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210033.2","Voting District 33.2, Buncombe County, North Carolina","1242","12","1230","1218","1175","36","1","6","0","0","12","12","4","5","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210033.3","Voting District 33.3, Buncombe County, North Carolina","2066","56","2010","1974","1843","113","9","7","0","2","36","35","4","26","2","0","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210034.1","Voting District 34.1, Buncombe County, North Carolina","1087","13","1074","1067","1037","26","0","4","0","0","7","7","1","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210035.1","Voting District 35.1, Buncombe County, North Carolina","2021","48","1973","1942","1740","185","1","16","0","0","31","22","5","12","4","0","0","1","0","0","0","0","0","0","0","0","0","8","5","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210036.1","Voting District 36.1, Buncombe County, North Carolina","2276","47","2229","2204","2112","70","4","12","1","5","25","25","7","13","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210037.1","Voting District 37.1, Buncombe County, North Carolina","1412","12","1400","1385","1373","0","4","7","1","0","15","13","1","8","3","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7000000US370210038.2","Voting District 38.2, Buncombe County, North Carolina","1634","29","1605","1589","1570","5","2","5","0","7","16","16","7","5","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
